,Algorithm,Map,Path_length,Iteration,Setup,Obstacle_type,Algorithm_Type,Q_obstacle
1,A_Star,P_empty,141.4213562,101.0,0.0,Convex,Deterministic,0
7,A_Star,P1,148.4507935,2957.0,0.0,Convex,Deterministic,242
13,A_Star,P2,148.4507935,2962.0,0.0,Convex,Deterministic,242
19,A_Star,P3,148.4507935,3049.0,0.0,Convex,Deterministic,242
25,Bidirectional_A_Star,P_empty,141.4213562,51.0,0.0,Convex,Deterministic,0
31,Bidirectional_A_Star,P1,148.4507935,924.0,0.0,Convex,Deterministic,242
37,Bidirectional_A_Star,P2,148.4507935,1251.0,0.0,Convex,Deterministic,242
43,Bidirectional_A_Star,P3,148.4507935,780.0,0.0,Convex,Deterministic,242
49,Bidirectional_BFS,P_empty,142.0071427,2600.0,0.0,Convex,Deterministic,0
55,Bidirectional_BFS,P1,148.4507935,2896.0,0.0,Convex,Deterministic,242
61,Bidirectional_BFS,P2,148.4507935,2971.0,0.0,Convex,Deterministic,242
67,Bidirectional_BFS,P3,148.4507935,2884.0,0.0,Convex,Deterministic,242
73,BFS,P_empty,141.4213562,10001.0,0.0,Convex,Deterministic,0
79,BFS,P1,148.4507935,9671.0,0.0,Convex,Deterministic,242
85,BFS,P2,148.4507935,9671.0,0.0,Convex,Deterministic,242
91,BFS,P3,148.4507935,9671.0,0.0,Convex,Deterministic,242
97,DFS,P_empty,141.4213562,101.0,0.0,Convex,Deterministic,0
103,DFS,P1,158.391919,113.0,0.0,Convex,Deterministic,242
109,DFS,P2,158.391919,113.0,0.0,Convex,Deterministic,242
115,DFS,P3,158.391919,113.0,0.0,Convex,Deterministic,242
121,Dijkstra,P_empty,141.4213562,10001.0,0.0,Convex,Deterministic,0
127,Dijkstra,P1,148.4507935,9671.0,0.0,Convex,Deterministic,242
133,Dijkstra,P2,148.4507935,9671.0,0.0,Convex,Deterministic,242
139,Dijkstra,P3,148.4507935,9671.0,0.0,Convex,Deterministic,242
145,D_Star,P_empty,140.0071427,100.0,0.0,Convex,Deterministic,0
151,D_Star,P1,146.8650071,111.0,0.0,Convex,Deterministic,242
157,D_Star,P2,146.8650071,111.0,0.0,Convex,Deterministic,242
163,D_Star,P3,146.8650071,111.0,0.0,Convex,Deterministic,242
169,Greedy_BFS,P_empty,141.4213562,101.0,0.0,Convex,Deterministic,0
175,Greedy_BFS,P1,155.137085,123.0,0.0,Convex,Deterministic,242
181,Greedy_BFS,P2,149.2792206,113.0,0.0,Convex,Deterministic,242
